rank,symbol,yf_ticker,name,market_cap_zar,market_cap_tier,gics_sector,industry
37,RNI,RNI.JO,Reinet Investments S.C.A.,84300000000,Large Cap,Financials,Investment Holding Companies
38,KIO,KIO.JO,Kumba Iron Ore Limited,83070000000,Large Cap,Materials,Iron Ore Mining
39,PPH,PPH.JO,Pepkor Holdings Limited,80440000000,Large Cap,Consumer Discretionary,Apparel & Discount Retail
40,APN,APN.JO,Aspen Pharmacare Holdings Limited,67580000000,Large Cap,Health Care,Pharmaceuticals
41,GRT,GRT.JO,Growthpoint Properties Limited,59860000000,Large Cap,Real Estate,Diversified REITs
42,QLT,QLT.JO,Quilter plc,58180000000,Large Cap,Financials,Asset Management
43,SHC,SHC.JO,Shaftesbury Capital PLC,57940000000,Large Cap,Real Estate,Retail REITs
44,CNP,CNP.JO,Canal+ SA,57270000000,Large Cap,Communication Services,Broadcasting
45,OMU,OMU.JO,Old Mutual Limited,54750000000,Large Cap,Financials,Life Insurance
46,PHP,PHP.JO,Primary Health Properties Plc,54320000000,Large Cap,Real Estate,Health Care REITs
47,MTM,MTM.JO,Momentum Group Limited,53570000000,Large Cap,Financials,Life Insurance
48,PAN,PAN.JO,Pan African Resources PLC,51050000000,Large Cap,Materials,Gold Mining
49,CLS,CLS.JO,Clicks Group Limited,50510000000,Large Cap,Consumer Staples,Drug & Health Retail
50,HMN,HMN.JO,Hammerson Plc,47670000000,Mid Cap,Real Estate,Retail REITs
51,EXX,EXX.JO,Exxaro Resources Limited,46710000000,Mid Cap,Energy,Coal Mining
52,MRP,MRP.JO,Mr Price Group Limited,46310000000,Mid Cap,Consumer Discretionary,Apparel Retail
53,N91,N91.JO,Ninety One Group,46240000000,Mid Cap,Financials,Asset Management
54,NY1,NY1.JO,Ninety One Group,46240000000,Mid Cap,Financials,Asset Management
55,RDF,RDF.JO,Redefine Properties Limited,45430000000,Mid Cap,Real Estate,Diversified REITs
56,SNT,SNT.JO,Santam Ltd,44680000000,Mid Cap,Financials,Non-Life Insurance
57,KST,KST.JO,PSG Financial Services Limited,42240000000,Mid Cap,Financials,Diversified Financial Services
58,WHL,WHL.JO,Woolworths Holdings Limited,41940000000,Mid Cap,Consumer Discretionary,Multiline Retail
59,TBS,TBS.JO,Tiger Brands Limited,41230000000,Mid Cap,Consumer Staples,Packaged Foods
60,ARI,ARI.JO,African Rainbow Minerals Limited,38830000000,Mid Cap,Materials,Diversified Mining
61,BOX,BOX.JO,Boxer Retail Limited,35450000000,Mid Cap,Consumer Staples,Food Retail
62,VKE,VKE.JO,Vukile Property Fund Limited,34210000000,Mid Cap,Real Estate,Diversified REITs
63,SRE,SRE.JO,Sirius Real Estate Limited,34159999999,Mid Cap,Real Estate,Industrial REITs
64,DRD,DRD.JO,DRDGOLD Limited,33150000000,Mid Cap,Materials,Gold Mining
65,KRO,KRO.JO,Karooooo Ltd.,32380000000,Mid Cap,Information Technology,Software & IoT
66,FFB,FFB.JO,Fortress Real Estate Investments Limited,30920000000,Mid Cap,Real Estate,Industrial & Logistics REITs
67,AVI,AVI.JO,AVI Limited,30240000000,Mid Cap,Consumer Staples,Packaged Foods & Brands
68,PMR,PMR.JO,Premier Group Limited,29960000000,Mid Cap,Consumer Staples,Packaged Foods
69,RES,RES.JO,Resilient REIT Limited,27420000000,Mid Cap,Real Estate,Retail REITs
70,TKG,TKG.JO,Telkom SA SOC Ltd,27180000000,Mid Cap,Communication Services,Integrated Telecom
71,ADH,ADH.JO,ADvTECH Limited,26260000000,Mid Cap,Consumer Discretionary,Education Services
72,SRI,SRI.JO,Supermarket Income REIT plc,25950000000,Mid Cap,Real Estate,Retail REITs
73,DCP,DCP.JO,Dis-Chem Pharmacies Limited,25670000000,Mid Cap,Consumer Staples,Drug & Health Retail
74,HYP,HYP.JO,Hyprop Investments Limited,24600000000,Mid Cap,Real Estate,Retail REITs
75,APH,APH.JO,Alphamin Resources Corp.,23310000000,Mid Cap,Materials,Tin Mining
76,NTC,NTC.JO,Netcare Limited,22360000000,Mid Cap,Health Care,Health Care Facilities
77,BYI,BYI.JO,Bytes Technology Group plc,21190000000,Mid Cap,Information Technology,IT Services
78,DTC,DTC.JO,Datatec Limited,20800000000,Mid Cap,Information Technology,IT Services & Hardware Distribution
79,TRU,TRU.JO,Truworths International Limited,19590000000,Mid Cap,Consumer Discretionary,Apparel Retail
80,MTH,MTH.JO,Motus Holdings Limited,19110000000,Mid Cap,Consumer Discretionary,Automotive Retail
81,OPA,OPA.JO,Optasia Limited,18190000000,Mid Cap,Information Technology,Fintech Software
82,TFG,TFG.JO,The Foschini Group Limited,18150000000,Mid Cap,Consumer Discretionary,Apparel Retail
83,GND,GND.JO,Grindrod Limited,16940000000,Mid Cap,Industrials,Marine Transportation & Logistics
84,LTE,LTE.JO,Lighthouse Properties p.l.c.,16640000000,Mid Cap,Real Estate,Retail REITs
85,LHC,LHC.JO,Life Healthcare Group Holdings Limited,16640000000,Mid Cap,Health Care,Health Care Facilities
86,OMN,OMN.JO,Omnia Holdings Limited,16500000000,Mid Cap,Materials,Specialty Chemicals
87,GCT,GCT.JO,Greencoat Renewables PLC,15690000000,Mid Cap,Utilities,Renewable Electricity
88,EQU,EQU.JO,Equites Property Fund Limited,15430000000,Mid Cap,Real Estate,Industrial & Logistics REITs
89,CML,CML.JO,Coronation Fund Managers Limited,15290000000,Mid Cap,Financials,Asset Management
90,FTA,FTA.JO,Fairvest Limited,14950000000,Mid Cap,Real Estate,Retail REITs
91,FTB,FTB.JO,Fairvest Limited,14950000000,Mid Cap,Real Estate,Retail REITs
92,MSP,MSP.JO,MAS P.L.C.,14340000000,Mid Cap,Real Estate,Retail REITs
93,PIK,PIK.JO,Pick n Pay Stores Limited,13990000000,Mid Cap,Consumer Staples,Food Retail
94,WBC,WBC.JO,We Buy Cars Holdings Limited,13430000000,Mid Cap,Consumer Discretionary,Automotive Retail
95,HCI,HCI.JO,Hosken Consolidated Investments Limited,13300000000,Mid Cap,Financials,Investment Holding Companies
96,SSU,SSU.JO,Southern Sun Limited,13290000000,Mid Cap,Consumer Discretionary,Hotels & Leisure
97,AFE,AFE.JO,AECI Ltd,13180000000,Mid Cap,Materials,Specialty Chemicals
98,JSE,JSE.JO,JSE Limited,12500000000,Mid Cap,Financials,Financial Exchanges & Data
99,SUI,SUI.JO,Sun International Limited,12430000000,Mid Cap,Consumer Discretionary,Casinos & Gaming
100,TGA,TGA.JO,Thungela Resources Limited,12250000000,Mid Cap,Energy,Coal Mining
101,ATT,ATT.JO,Attacq Limited,12180000000,Mid Cap,Real Estate,Diversified REITs
102,ITE,ITE.JO,Italtile Limited,11730000000,Mid Cap,Consumer Discretionary,Home Improvement Retail
103,PPC,PPC.JO,PPC Ltd,11300000000,Mid Cap,Materials,Construction Materials
104,ISO,ISO.JO,ASP Isotopes Inc.,10980000000,Mid Cap,Materials,Specialty Chemicals
105,SDO,SDO.JO,Stadio Holdings Limited,10910000000,Mid Cap,Consumer Discretionary,Education Services
106,CVW,CVW.JO,Castleview Property Fund Limited,10530000000,Mid Cap,Real Estate,Diversified REITs
107,AEL,AEL.JO,Altron Limited,10530000000,Mid Cap,Information Technology,IT Services
108,SAC,SAC.JO,SA Corporate Real Estate Limited,9520000000,Small Cap,Real Estate,Diversified REITs
109,RLO,RLO.JO,Reunert Limited,9440000000,Small Cap,Industrials,Electrical Equipment
110,PWR,PWR.JO,PowerFleet Inc.,9430000000,Small Cap,Information Technology,IoT Software
111,AFH,AFH.JO,Alexander Forbes Group Holdings Limited,9410000000,Small Cap,Financials,Insurance Brokers & Financial Services
112,SAP,SAP.JO,Sappi Limited,9280000000,Small Cap,Materials,Paper & Forest Products
113,CCD,CCD.JO,Cell C Holdings Limited,9040000000,Small Cap,Communication Services,Wireless Telecom
114,SPP,SPP.JO,The SPAR Group Ltd,8820000000,Small Cap,Consumer Staples,Food Distribution & Retail
115,BAT,BAT.JO,Brait PLC,8690000000,Small Cap,Financials,Private Equity / Investment Holding
116,OCE,OCE.JO,Oceana Group Limited,8600000000,Small Cap,Consumer Staples,Fish Processing & Packaged Foods
117,SSS,SSS.JO,Stor-Age Property REIT Limited,8400000000,Small Cap,Real Estate,Self Storage REITs
118,CAA,CAA.JO,CA Sales Holdings Limited,8350000000,Small Cap,Consumer Staples,FMCG Distribution
119,HET,HET.JO,Heriot REIT Limited,8300000000,Small Cap,Real Estate,Diversified REITs
120,ARL,ARL.JO,Astral Foods Limited,8199999999,Small Cap,Consumer Staples,Poultry & Agri Products
121,WBO,WBO.JO,Wilson Bayly Holmes-Ovcon Limited,8160000000,Small Cap,Industrials,Construction & Engineering
122,RBX,RBX.JO,Raubex Group Limited,7960000000,Small Cap,Industrials,Construction & Engineering
123,BLU,BLU.JO,Blu Label Unlimited Group Limited,7900000000,Small Cap,Information Technology,IT & Prepaid Distribution
124,BTN,BTN.JO,Burstone Group Limited,7760000000,Small Cap,Real Estate,Industrial & Logistics REITs
125,THA,THA.JO,Tharisa plc,7630000000,Small Cap,Materials,Platinum Group Metals & Chrome
126,RCL,RCL.JO,RCL Foods Limited,7370000000,Small Cap,Consumer Staples,Packaged Foods
127,TSG,TSG.JO,Tsogo Sun Limited,7340000000,Small Cap,Consumer Discretionary,Casinos & Gaming
128,DIB,DIB.JO,Dipula Properties Limited,7270000000,Small Cap,Real Estate,Diversified REITs
129,SPG,SPG.JO,Super Group Limited,7140000000,Small Cap,Industrials,Transportation & Logistics
130,KAP,KAP.JO,KAP Limited,6600000000,Small Cap,Industrials,Diversified Industrials
131,LSK,LSK.JO,Lesaka Technologies Inc.,6580000000,Small Cap,Information Technology,Fintech Software
132,EMI,EMI.JO,Emira Property Fund Limited,6240000000,Small Cap,Real Estate,Diversified REITs
133,EXP,EXP.JO,Exemplar REITail Limited,6070000000,Small Cap,Real Estate,Retail REITs
134,GTC,GTC.JO,Globe Trade Centre S.A.,5790000000,Small Cap,Real Estate,Diversified REITs
135,WVR,WVR.JO,Weaver Fintech Ltd,5610000000,Small Cap,Information Technology,Fintech Software
136,HDC,HDC.JO,Hudaco Industries Limited,5340000000,Small Cap,Industrials,Industrial Distribution
137,RBO,RBO.JO,Rainbow Chicken Limited,5290000000,Small Cap,Consumer Staples,Poultry
138,SEA,SEA.JO,Spear Reit Limited,5290000000,Small Cap,Real Estate,Diversified REITs
139,FBR,FBR.JO,Famous Brands Limited,5290000000,Small Cap,Consumer Discretionary,Restaurants
140,SBP,SBP.JO,Sabvest Capital Limited,5190000000,Small Cap,Financials,Investment Holding Companies
