rank,symbol,name,market_cap_display
182,QFH,Quantum Foods Holdings Ltd,1.73B
183,ZED,Zeder Investments Ltd.,1.65B
184,UPL,Universal Partners Limited,1.43B
185,MMP,Marshall Monteagle PLC,1.43B
186,SZK,SAB Zenzele Kabili Holdings (RF) Limited,1.38B
187,BRN,Brimstone Investment Corporation Limited,1.30B
188,BRT,Brimstone Investment Corporation Limited,1.30B
189,GML,Gemfields Group Limited,1.28B
190,TPC,Transpaco Limited,1.13B
191,DNB,Deneb Investments Limited,1.10B
192,EMH,eMedia Holdings Limited,1.10B
193,EMN,eMedia Holdings Limited,1.10B
194,SSK,Stefanutti Stocks Holdings Limited,1.08B
195,EPS,Eastern Platinum Limited,1.06B
196,SNV,Santova Limited,1.04B
197,YRK,York Timber Holdings Limited,1.02B
198,MTA,Metair Investments Limited,970.89M
199,BCF,Bowler Metcalf Limited,943.71M
200,APF,Accelerate Property Fund Limited,920.47M
201,TEX,Texton Property Fund Limited,894.30M
202,MST,Mustek Limited,825.51M
203,GPL,Grand Parade Investments Limited,812.11M
204,EPE,EPE Capital Partners Ltd,729.52M
205,WEZ,Wesizwe Platinum Limited,716.24M
206,ADR,Adcorp Holdings Limited,713.29M
207,ACT,AfroCentric Investment Corporation Limited,695.83M
208,HLM,Hulamin Limited,673.42M
209,NTU,Nutun Limited,640.13M
210,PBG,PBT Holdings Limited,639.29M
211,PBT,PBT Holdings Limited,639.29M
212,RMH,RMB Holdings Limited,580.22M
213,AEG,Aveng Limited,576.49M
214,NWL,Nu-World Holdings Limited,568.91M
215,AME,African Media Entertainment Limited,489.92M
216,NRL,Newpark REIT Limited,470.00M
217,ENX,enX Group Limited,447.98M
218,FGL,Finbond Group Limited,413.37M
219,VUN,Vunani Limited,402.65M
220,4SI,4Sight Holdings Limited,395.67M
221,SEP,Sephaku Holdings Limited,394.86M
222,SLG,Salungano Group Limited,391.65M
223,CGR,Calgro M3 Holdings Limited,381.52M
224,CPR,Copper 360 Limited,366.73M
225,ANI,Afine Investments Limited,362.68M
226,ISA,ISA Holdings Limited,311.99M
227,RTN,Rex Trueform Group Limited,310.08M
228,RTO,Rex Trueform Group Limited,310.08M
229,PPR,Putprop Limited,295.99M
230,CCC,Cilo Cybin Holdings Limited,288.09M
231,TTO,Trustco Group Holdings Limited,282.37M
232,DLT,Delta Property Fund Limited,278.55M
233,CKS,Crookes Brothers Limited,272.32M
234,CAC,CAFCA Limited,268.20M
235,TMT,Trematon Capital Investments Limited,258.34M
236,ISB,Insimbi Industrial Holdings Limited,252.29M
237,RNG,Randgold & Exploration Company Limited,246.97M
238,MHB,Mahube Infrastructure Limited,242.66M
239,HUG,Huge Group Limited,198.45M
240,PMV,Primeserv Group Limited,194.88M
241,AON,African and Overseas Enterprises Limited,173.54M
242,AOO,African and Overseas Enterprises Limited,173.54M
243,SOH,South Ocean Holdings Limited,157.98M
244,SEB,Sebata Holdings Limited,156.28M
245,NCS,Nictus Limited,154.99M
246,RHB,RH Bophelo Limited,129.38M
247,BIK,Brikor Limited,129.03M
248,XII,Numeral Limited,120.58M
249,TRL,Trellidor Holdings Limited,117.11M
250,SKA,Shuka Minerals Plc,80.08M
251,MTU,Mantengu Limited,74.75M
252,TLM,TeleMasters Holdings Limited,56.54M
253,BAC,Africa Bitcoin Corporation Limited,54.45M
254,LAB,Labat Africa Limited,37.47M
255,VIS,Visual International Holdings Limited,35.83M
256,EUZ,Europa Metals Limited,32.69M
257,EEL,Efora Energy Limited,22.08M
258,ADW,African Dawn Capital Limited,9.56M
259,SXM,Sable Exploration and Mining Limited,3.39M
